dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.370642,3.159077,5.874844,0.669829,-2.156550,2.467093,1.559320
0.020000,6.370775,3.171631,5.887399,0.627744,-2.104263,2.614316,1.561141
0.020000,6.370879,3.183366,5.899134,0.586757,-2.049363,2.745008,1.562701
0.020000,6.370960,3.194304,5.910073,0.546915,-1.992092,2.863542,1.564033
0.020000,6.371023,3.204469,5.920238,0.508264,-1.932550,2.977104,1.565166
0.020000,6.371071,3.213886,5.929655,0.470843,-1.871036,3.075685,1.566127
0.020000,6.371108,3.222579,5.938349,0.434689,-1.807705,3.166577,1.566939
0.020000,6.371136,3.230576,5.946345,0.399836,-1.742669,3.251794,1.567623
0.020000,6.371158,3.237902,5.953672,0.366314,-1.676110,3.327930,1.568197
0.020000,6.371173,3.244585,5.960355,0.334150,-1.608190,3.396024,1.568676
0.020000,6.371185,3.250653,5.966422,0.303370,-1.538989,3.460027,1.569076
0.020000,6.371193,3.256133,5.971902,0.273997,-1.468674,3.515747,1.569408
0.020000,6.371200,3.261054,5.976823,0.246050,-1.397321,3.567650,1.569682
0.020000,6.371204,3.265445,5.981214,0.219548,-1.325082,3.611996,1.569908
0.020000,6.371207,3.269335,5.985104,0.194509,-1.251990,3.654575,1.570094
0.020000,6.371209,3.272754,5.988523,0.170945,-1.178199,3.689576,1.570245
0.020000,6.371211,3.275731,5.991500,0.148869,-1.103780,3.720942,1.570369
0.020000,6.371212,3.278297,5.994066,0.128293,-1.028783,3.749844,1.570469
0.020000,6.371212,3.280482,5.996251,0.109227,-0.953318,3.773233,1.570549
0.020000,6.371213,3.282315,5.998084,0.091678,-0.877452,3.793307,1.570614
0.020000,6.371213,3.283828,5.999597,0.075654,-0.801218,3.811678,1.570664
0.020000,6.371213,3.285051,6.000821,0.061159,-0.724712,3.825310,1.570704
0.020000,6.371213,3.286015,6.001785,0.048200,-0.647964,3.837426,1.570734
0.020000,6.371213,3.286751,6.002520,0.036780,-0.571025,3.846951,1.570756
0.020000,6.371213,3.287289,6.003058,0.026901,-0.493954,3.853552,1.570773
0.020000,6.371213,3.287660,6.003429,0.018566,-0.416752,3.860107,1.570784
0.020000,6.371213,3.287896,6.003665,0.011776,-0.339484,3.863369,1.570790
0.020000,6.371213,3.288026,6.003796,0.006533,-0.262164,3.866004,1.570794
0.020000,6.371213,3.288083,6.003852,0.002836,-0.184811,3.867638,1.570796
0.020000,6.371213,3.288097,6.003866,0.000688,-0.107442,3.868473,1.570796
0.020000,6.371213,3.288097,6.003866,0.000000,-0.034377,3.653229,1.570796
